debugNEiZn:debugZ9TAq,initialized,0,,1593821888911
debugNEiZn:debugZ9TAq,window_resize,0,"[1024, 767]",1593821888911
debugNEiZn:debugZ9TAq,focus,988,off,1593821889899
debugNEiZn:debugZ9TAq,focus,427371,off,1593822317270
debugNEiZn:debugZ9TAq,focus,7539152,on,1593829856422
debugNEiZn:debugZ9TAq,focus,2515,off,1593829858937
debugNEiZn:debugZ9TAq,window_resize,937853,"[1024, 826]",1593830796790
debugi7upY:debuglT6tK,initialized,0,,1594019424873
debugi7upY:debuglT6tK,window_resize,0,"[1024, 767]",1594019424873
debugi7upY:debuglT6tK,focus,2985,off,1594019427858
debugi7upY:debuglT6tK,focus,383758,off,1594019811616
debugi7upY:debuglT6tK,focus,1367,on,1594019812983
